"crime_id","report_number","address","offense_description","offense_category","state_offense_code","arrest_charge","charge_description","incident_timestamp","incident_time","day_of_week","hour_of_day","year","scout_car_area","precinct","block_id","neighborhood","council_district","zip_code","longitude","latitude","oid","Geometry"
"3000433","1612070297","Joy Rd & Mansfield St","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/08/2016 07:00:00","02:00:00","4","2","2016","0608","06","261635453003012","Joy Community","7","48228","-83.2032664731564","42.3580446131631","385","POINT (-83.20326647299999 42.35804461300006)"
"3000443","1612080007","Pembroke Ave & Annchester Rd","INTIMIDATION / STALKING","ASSAULT","1303","13003","INTIMIDATION / STALKING","12/08/2016 09:30:00","04:30:00","4","4","2016","0803","08","261635407004006","O'Hair Park","1","48219","-83.2358808860589","42.4368646828206","386","POINT (-83.23588088599996 42.43686468300007)"
"3000452","1612080004","Ward St & Elmira St","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/07/2016 10:00:00","05:00:00","3","5","2016","0208","02","261635351001003","Barton-McFarland","7","48227","-83.1729974068616","42.3707396991957","387","POINT (-83.17299740699997 42.37073969900007)"
"3000453","1612080025","Verdun St & Riverview St","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/08/2016 11:08:00","06:08:00","4","6","2016","0801","08","261635417002001","Seven Mile-Rouge","1","48219","-83.2755067354277","42.4332761640185","388","POINT (-83.27550673499996 42.43327616400006)"
"3000457","1612080005","Lillibridge St & E Jefferson Ave","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/08/2016 08:46:00","03:46:00","4","3","2016","0508","05","261635136001014","East Village","4","48214","-82.9728399285304","42.3659400103458","389","POINT (-82.97283992899997 42.36594001000003)"
"3000457","1612080005","Lillibridge St & E Jefferson Ave","BURGLARY - FORCED ENTRY","BURGLARY","2201","22001","BURGLARY - FORCED ENTRY","12/08/2016 08:46:00","03:46:00","4","3","2016","0508","05","261635136001014","East Village","5","48214","-82.9728399285304","42.3659400103458","390","POINT (-82.97283992899997 42.36594001000003)"
"3000458","1612080032","Brace St & W Warren Ave","HEALTH AND SAFETY","OTHER","5501","55000","HEALTH AND SAFETY","12/07/2016 09:59:00","04:59:00","3","4","2016","0610","06","261635459001006","Warrendale","7","48228","-83.2231599527646","42.3433126695432","391","POINT (-83.22315995299994 42.343312670000046)"
"3000465","1612080019","3rd St & W Canfield St","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/08/2016 10:05:00","05:05:00","4","5","2016","0309","03","261635204001002","Midtown","6","48201","-83.0687196945502","42.3503601580393","392","POINT (-83.06871969499997 42.35036015800006)"
"3000466","1612080016","W Kirby St & Cass Ave","EXTORTION","EXTORTION","2101","21000","EXTORTION","12/08/2016 10:30:00","05:30:00","4","5","2016","0306","03","261635202002007","Wayne State","5","48202","-83.068339326279","42.3589301447476","393","POINT (-83.06833932599994 42.358930145000045)"
"3000470","1612080031","Chapel St & W 7 Mile Rd","MOTOR VEHICLE THEFT","STOLEN VEHICLE","2401","24001","MOTOR VEHICLE THEFT","12/08/2016 05:23:00","00:23:00","4","0","2016","0806","08","261635412001002","Holcomb Community","1","48219","-83.2548552023044","42.4292049774855","394","POINT (-83.25485520199999 42.42920497700004)"
"3000473","1612080011","Eastburn St & Rex St","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/08/2016 10:30:00","05:30:00","4","5","2016","0903","09","261635002002000","Regent Park","3","48205","-82.9585547934557","42.4455894447457","395","POINT (-82.95855479299996 42.44558944500005)"
"3000483","1612080042","Colfax St & Tireman St","KIDNAPPING / ABDUCTION","KIDNAPPING","1001","10001","KIDNAPPING / ABDUCTION","12/08/2016 11:47:00","06:47:00","4","6","2016","1006","10","261635337001022","Midwest","6","48204","-83.1282518954978","42.3519360699594","396","POINT (-83.12825189499995 42.35193607000008)"
"3000499","1612080040","Chippewa St & Steel St","AGGRAVATED / FELONIOUS ASSAULT","AGGRAVATED ASSAULT","1302","13002","AGGRAVATED / FELONIOUS ASSAULT","12/08/2016 12:00:00","07:00:00","4","7","2016","1202","12","261635392004006","Blackstone Park","2","48235","-83.1732615394946","42.4406841918724","397","POINT (-83.17326153899995 42.44068419200005)"
"3000501","1612080050","Manning St & Runyon St","ASSAULT AND BATTERY/SIMPLE ASSAULT","ASSAULT","1301","13001","ASSAULT AND BATTERY/SIMPLE ASSAULT","12/08/2016 13:10:00","08:10:00","4","8","2016","0901","09","261635050001004","Pulaski","3","48234","-83.0069967456332","42.4400425874804","398","POINT (-83.00699674599997 42.44004258700005)"
